,,,,,,,,,,,,,,x,,,,,,,,,,,,
49.477,53.477,56.997,57.016,57.726,55.737,57.201,54.821,50.432,3.0728,3.0533,3.0923,3.0794,3.0374,3.1149,3.0891,3.0334,0.00078753,0.0011167,0.0015271,0.0015315,0.00061016,0.0010315,0.0016896,0.0011274,0.0010133,0.00077286
44.2,54.613,56.368,57.128,56.517,55.237,56.163,54.913,50.302,3.0247,3.0336,3.0209,3.1014,3.0305,3.1222,3.0521,3.0666,0.0014979,0.0017059,0.0016108,0.00091484,0.00060801,0.00097414,0.0012428,0.00090172,0.0015005,0.0010186
49.203,52.258,54.523,56.778,56.919,56.14,55.698,53.695,48.594,3.1033,3.0631,3.0503,3.0787,3.1294,3.0721,3.0498,3.0644,0.0007846,0.00095267,0.0012842,0.00052787,0.00096611,0.0013298,0.00055096,0.0014367,0.0010802,0.0023985
49.609,54.325,56.994,56.955,56.553,54.173,54.602,56.156,52.257,3.0176,3.0498,3.0487,3.0788,3.0931,3.0583,3.0566,3.0862,0.0009661,0.0012741,0.0013222,0.0015874,0.00051719,0.00099228,0.00099902,0.0011651,0.00025055,0.0017519
49.694,53.656,55.843,55.835,57.022,58.107,56.426,51.46,50.079,2.9803,3.0791,3.0461,3.0473,3.0338,3.0806,3.1,3.0549,0.0015575,0.00035946,0.000982,0.0013889,0.0010532,0.0011689,0.0020048,0.00096385,0.00068764,0.0024632
48.558,55.663,57.003,57.201,55.811,56.546,54.777,52.963,49.927,2.8876,3.0381,3.0964,3.1074,3.0813,3.0644,3.0365,3.1044,0.00043264,0.0011307,0.0010454,0.0016424,0.0004509,0.001017,0.0009624,0.00082841,0.0014401,0.0010756
47.148,52.818,56.335,56.523,55.214,56.044,55.788,52.503,46.21,3.0425,3.0468,3.056,3.0761,3.0199,3.0416,3.032,3.049,0.0014122,0.0014733,0.0011536,0.0016201,0.00099117,0.001056,0.001069,0.00096876,0.00050148,0.0020059
49.463,54.596,56.704,56.856,57.373,57.153,55.652,54.331,50.008,3.0421,3.0982,3.1367,3.0544,3.0691,3.0653,3.0242,3.0649,0.0012644,0.0016506,0.0010171,0.00098189,0.00060971,0.001337,0.0024847,0.0011701,0.00096113,0.0012027
49.173,55.342,55.568,57.249,55.77,56.303,53.658,53.555,47.051,3.0756,3.1155,3.0906,3.0705,3.012,3.0513,3.1044,3.0622,0.001852,0.00094662,0.0014503,0.0007166,0.00081342,0.0010433,0.0019557,0.00098292,0.0013181,0.0013487
46.2,54.332,55.522,55.809,55.612,56.54,56.073,54.477,47.345,2.9921,3.0547,3.1264,3.023,3.068,3.1208,3.0529,3.0551,0.0017262,0.00096329,0.00076972,0.00072835,0.001524,0.00071332,0.001739,0.0019889,0.0011588,0.0017854
53.664,53.024,56.268,55.806,56.079,56.121,56.071,54.174,48.447,3.0946,3.0879,3.0853,3.076,3.05,3.0474,3.1143,3.032,0.00127,0.0015059,0.0014592,0.0009069,0.00052039,0.00095068,0.00075926,0.0018278,0.0016915,0.00060668
46.061,54.743,55.022,55.662,56.614,55.853,57.403,52.977,46.308,2.8999,3.0111,3.0807,3.1216,3.0958,3.0728,3.0515,2.9971,0.0011669,0.00072779,0.0010699,0.0002206,0.0011673,0.0014285,0.00086462,0.0014615,0.0014265,0.0014592
47.354,53.208,55.047,56.632,56.429,56.592,54.933,51.816,49.858,3.0167,3.1051,3.083,3.1095,2.9999,3.0478,3.0821,3.1096,0.0013623,0.00038925,0.001377,0.00057605,0.0013845,0.0017574,0.0010002,0.0012276,0.00060871,0.0018819
47.791,54.94,56.701,56.968,56.898,56.345,56.011,53.73,49.299,3.029,3.0983,3.0278,3.0644,3.0674,3.1247,3.078,3.0838,0.0016958,0.0014215,0.00056548,0.00096891,0.0010953,0.00088547,0.00058604,0.00074829,0.0012504,0.0016368
50.644,53.778,55.764,56.136,55.966,56.685,56.446,53.353,47.136,3.085,3.0092,2.9721,3.0885,3.0791,3.0775,2.9512,3.0361,0.00078258,0.0010341,0.0013178,0.0015723,0.0016311,0.0015097,0.00097797,0.0021132,0.0018365,0.00058825
49.732,51.852,54.571,56.129,58.395,56.78,53.317,54.27,48.709,3.0659,3.0463,3.0998,3.0844,3.1198,3.0873,3.0957,3.0079,0.0014028,0.0011064,0.0012733,0.0010518,0.00080692,0.00088972,0.0013301,0.00095476,0.0011169,0.0013237
47.217,52.44,56.967,55.835,57.275,57.279,56.568,52.339,46.669,3.0274,3.066,3.057,3.1152,3.0471,3.0394,3.1203,3.039,0.0011078,0.0011469,0.00060245,0.0006912,0.00070385,0.0013402,0.00024503,0.00031529,0.0014939,0.00045542
48.37,53.744,57.086,58.089,57.015,58.359,54.744,54.868,47.517,2.8465,3.1116,3.0001,3.051,3.0832,3.0884,3.1011,3.1291,0.00087731,0.0007677,0.00054528,0.00028305,0.00036258,0.0011895,0.0011428,0.0012089,0.0014379,0.0020383
47.684,55.148,55.967,54.955,55.733,55.107,55.547,52.895,47.59,3.0906,3.1013,3.1025,3.0583,3.0711,3.0656,3.0086,3.0947,0.0008528,0.0020316,0.0015019,0.00062993,0.0011993,0.0013819,0.0011638,0.0010513,0.00052546,0.0014809
49.807,55.841,55.813,56.77,56.139,56.346,54.751,53.682,49.481,3.0591,2.9836,3.0359,3.0176,2.9974,3.1231,3.051,2.9962,0.0010613,0.0010806,0.0014792,0.0016591,0.00075775,0.0013977,0.00073437,0.0011088,0.00059145,0.00092857
49.641,53.76,55.016,55.044,56.389,57.061,55.682,54.226,47.523,2.9779,3.0857,3.0599,3.0423,3.0455,3.0849,2.9611,2.9759,0.0011211,0.0021926,0.00032633,0.001015,0.0011024,0.0014847,0.0017559,0.00072644,0.00061701,0.0019389
50.333,53.471,54.723,57.14,58.081,55.85,56.982,55.205,48.92,3.0861,3.077,2.9921,3.0105,3.1097,3.068,3.0476,3.0295,0.001667,0.00091145,0.00034292,0.0010154,0.0014672,0.00018253,0.00086671,0.0010782,0.00087908,0.0012259
48.961,53.577,54.604,56.509,56.289,57.224,57.365,53.11,46.704,2.9955,3.0734,2.998,3.1075,3.106,3.0944,3.0971,3.0382,0.00080267,0.00055863,0.0010985,0.0011688,0.0019208,0.0006692,0.0014142,0.0019792,0.0015147,0.00091266
46.615,55.735,57.735,56.506,56.678,55.755,55.391,54.296,52.23,3.0893,3.1275,3.0844,3.0418,3.0064,3.0972,3.0645,3.0812,0.00039872,0.0009095,0.0010235,0.00084529,0.0020712,0.00078943,0.0011534,0.0014268,0.00096464,0.0014022
45.557,52.395,55.157,56.787,57.092,56.272,56.757,53.33,45.174,3.0273,3.0835,3.0618,3.0547,3.1239,3.0462,2.9778,3.0286,0.0023639,0.0013454,0.0014376,0.0020832,0.00095593,0.00080006,0.0013066,0.0011143,0.00046981,0.0013515
50.735,54.762,55.662,56.773,55.408,55.373,56.045,52.805,49.01,3.0382,3.0854,3.1024,3.0378,2.9828,2.9698,3.0411,3.0873,0.00051377,0.0013738,0.0014688,0.0015662,0.00055694,0.0011606,0.0010368,0.0014269,0.00079276,0.0016797
48.696,53.114,53.445,57.371,57.473,56.404,54.728,56.342,48.657,3.069,3.0633,2.998,3.0338,3.0252,3.0079,2.9956,3.0413,0.0013356,0.00078097,0.0012114,0.00084105,0.000422,0.00089186,0.0019222,0.00069938,0.00086856,0.0013009
45.897,54.455,57.701,55.513,55.95,56.601,55.795,53.756,46.712,3.1404,3.0621,3.1039,3.0543,3.0608,3.0821,3.0868,3.046,0.0013419,0.0011954,0.00096863,0.0012527,0.00091741,0.0011678,0.00062988,0.00083885,0.00070236,0.00026241
